Type of Scheduler: Shortest Job First(Non-Preemptive)
Number of Processes: 4

1,0,6
2,6,8
4,8,12
3,12,17

0,6,-,-,-,1,0,-,-,-,1 
1,5,2,-,-,1,0,0,-,-,2 
2,4,2,5,-,1,0,1,0,-,2 3 
3,3,2,5,4,1,0,2,1,0,2 3 4 
4,2,2,5,4,1,0,3,2,1,2 3 4 
5,1,2,5,4,1,0,4,3,2,2 3 4 
6,0,2,5,4,1,0,5,4,3,2 3 4 
7,0,1,5,4,2,0,5,5,4,3 4 
8,0,0,5,4,2,0,5,6,5,3 4 
9,0,0,5,3,4,0,5,7,5,3 
10,0,0,5,2,4,0,5,8,5,3 
11,0,0,5,1,4,0,5,9,5,3 
12,0,0,5,0,3,0,5,10,5,3 
13,0,0,4,0,3,0,5,10,5,
14,0,0,3,0,3,0,5,10,5,
15,0,0,2,0,3,0,5,10,5,
16,0,0,1,0,3,0,5,10,5,
17,0,0,0,0,3,0,5,10,5,
