NOTE: Parentheses + contents within should not be included

INPUT in "in-021.dat":
//Given a page reference string:
7,0,1,2,0,3,0,4,2,3,0,3,2,1,2,0,1,7,0,5


OUTPUT: in "out-021.dat":
// example output for FIFO

3           // number of frames in RAM
7,7,-,-,1   // INPUT STRING, FRAME_1, FRAME_2, FRAME_3, IS_PAGE_FAULT (1=true,0=false)
0,7,0,-,1
1,7,0,1,1
2,2,0,1,1
0,2,0,1,0
3,2,3,1,1
0,2,3,0,1
4,4,3,0,1
2,4,2,0,1
3,4,2,3,1
0,0,2,3,1
3,0,2,3,0
2,0,2,3,0
1,0,1,3,1
2,0,1,2,1
0,0,1,2,0
1,0,1,2,0
7,7,1,2,1
0,7,0,2,1
5,7,0,5,1
15 // # of page faults
