Type of Scheduler: Round Robin(Preemptive)
Number of Processes: 4
Quantum: 3

3,0,3
2,3,6
3,6,7
1,7,10
2,10,13
4,13,16
1,16,19
2,19,22
1,22,24

0,-,-,-,-,-,-,3,1,-,P3,-,-,-,-,-,-,0,0,-,P3 P3 
1,-,-,-,-,-,-,2,1,-,P3,-,-,-,-,-,-,0,1,-,P3 
2,-,-,-,3,3,3,1,1,-,P3,-,-,-,0,0,0,0,2,-,P2 P2 P2 P3 
3,-,-,-,3,3,3,0,1,-,P2,-,-,-,1,1,1,0,3,-,P2 P2 P2 P3 
4,3,3,2,2,3,3,0,1,-,P2,0,0,0,1,2,2,0,4,-,P1 P1 P1 P2 P2 P3 
5,3,3,2,1,3,3,0,1,-,P2,1,1,1,1,3,3,0,5,-,P1 P1 P1 P2 P2 P3 
6,3,3,2,0,3,3,0,1,-,P2,2,2,2,1,4,4,0,6,-,P1 P1 P1 P2 P2 P3 
7,3,3,2,0,3,3,0,0,-,P1,3,3,3,1,5,5,0,6,-,P1 P1 P1 P2 P2 
8,2,3,2,0,3,3,0,0,-,P1,3,4,4,1,6,6,0,6,-,P1 P1 P2 P2 
9,1,3,2,0,3,3,0,0,3,P1,3,5,5,1,7,7,0,6,0,P1 P1 P2 P2 P4 
10,0,3,2,0,3,3,0,0,3,P1,3,6,6,1,8,8,0,6,1,P1 P1 P2 P2 P4 
11,0,3,2,0,2,3,0,0,3,P2,3,7,7,1,8,9,0,6,2,P1 P1 P2 P4 
12,0,3,2,0,1,3,0,0,3,P2,3,8,8,1,8,10,0,6,3,P1 P1 P2 P4 
13,0,3,2,0,0,3,0,0,3,P2,3,9,9,1,8,11,0,6,4,P1 P1 P2 P4 
14,0,3,2,0,0,3,0,0,2,P4,3,10,10,1,8,12,0,6,4,P1 P1 P2 
15,0,3,2,0,0,3,0,0,1,P4,3,11,11,1,8,13,0,6,4,P1 P1 P2 
16,0,3,2,0,0,3,0,0,0,P1,3,12,12,1,8,14,0,6,4,P1 P1 P2 
17,0,2,2,0,0,3,0,0,0,P1,3,12,13,1,8,15,0,6,4,P1 P2 
18,0,1,2,0,0,3,0,0,0,P1,3,12,14,1,8,16,0,6,4,P1 P2 
19,0,0,2,0,0,3,0,0,0,P1,3,12,15,1,8,17,0,6,4,P1 P2 
20,0,0,2,0,0,2,0,0,0,P2,3,12,16,1,8,17,0,6,4,P1 
21,0,0,2,0,0,1,0,0,0,P2,3,12,17,1,8,17,0,6,4,P1 
22,0,0,2,0,0,0,0,0,0,P1,3,12,18,1,8,17,0,6,4,P1 
23,0,0,1,0,0,0,0,0,0,P1,3,12,18,1,8,17,0,6,4,
24,0,0,0,0,0,0,0,0,0,P1,3,12,18,1,8,17,0,6,4,
