Type of Scheduler: Priority Low -> High(Preemptive)
Number of Processes: 4

1,0,2
3,2,7
1,7,11
2,11,13
4,13,17

0,6,-,-,-,P1,0,0,0,0,
1,5,2,-,-,P1,0,1,0,0,P2 
2,4,2,5,-,P3,1,2,0,0,P1 P2 
3,4,2,4,4,P3,2,3,0,1,P1 P2 P4 
4,4,2,3,4,P3,3,4,0,2,P1 P2 P4 
5,4,2,2,4,P3,4,5,0,3,P1 P2 P4 
6,4,2,1,4,P3,5,6,0,4,P1 P2 P4 
7,4,2,0,4,P1,5,7,0,5,P2 P4 
8,3,2,0,4,P1,5,8,0,6,P2 P4 
9,2,2,0,4,P1,5,9,0,7,P2 P4 
10,1,2,0,4,P1,5,10,0,8,P2 P4 
11,0,2,0,4,P2,5,10,0,9,P4 
12,0,1,0,4,P2,5,10,0,10,P4 
13,0,0,0,4,P4,5,10,0,10,
14,0,0,0,3,P4,5,10,0,10,
15,0,0,0,2,P4,5,10,0,10,
16,0,0,0,1,P4,5,10,0,10,
17,0,0,0,0,P0,5,10,0,10,
