Type of Scheduler: Shortest job First(Preemptive)
Number of Processes: 4

3,0,1
4,1,2
1,2,3
2,3,4
1,4,6
4,6,10
3,10,16

0,-,-,7,-,P3,0,0,0,0,
1,-,-,6,5,P4,0,0,1,0,P3 
2,3,-,6,4,P1,0,0,2,1,P3 P4 
3,2,1,6,4,P2,1,0,3,2,P1 P3 P4 
4,2,0,6,4,P1,1,0,4,3,P3 P4 
5,1,0,6,4,P1,1,0,5,4,P3 P4 
6,0,0,6,4,P4,1,0,6,4,P3 
7,0,0,6,3,P4,1,0,7,4,P3 
8,0,0,6,2,P4,1,0,8,4,P3 
9,0,0,6,1,P4,1,0,9,4,P3 
10,0,0,6,0,P3,1,0,9,4,
11,0,0,5,0,P3,1,0,9,4,
12,0,0,4,0,P3,1,0,9,4,
13,0,0,3,0,P3,1,0,9,4,
14,0,0,2,0,P3,1,0,9,4,
15,0,0,1,0,P3,1,0,9,4,
16,0,0,0,0,P0,1,0,9,4,
